TA Active,,TA Passive,
X,Y,X,Y
37.37463126843657,9.894736842105246,37.37463126843657,0.0701754385964648
39.365781710914455,3.719298245614027,38.333333333333336,0.0701754385964648
38.4070796460177,14.666666666666643,39.365781710914455,0.0701754385964648
41.79941002949853,2.035087719298218,40.39823008849558,0.3508771929824377
41.09882005899705,17.754385964912274,41.4306784660767,-0.21052631578947967
41.4306784660767,14.666666666666643,42.905604719764014,0.0701754385964648
41.4306784660767,15.789473684210506,43.42182890855457,0.3508771929824377
40.39823008849558,17.754385964912274,44.38053097345133,0.3508771929824377
40.39823008849558,21.68421052631578,45.19174041297936,0.3508771929824377
39.21828908554572,24.491228070175424,45.41297935103245,0.0701754385964648
42.905604719764014,23.929824561403493,46.445427728613566,0.3508771929824377
43.42182890855457,23.649122807017534,46.66666666666667,0.3508771929824377
43.86430678466077,22.245614035087712,47.10914454277286,0.3508771929824377
41.4306784660767,27.01754385964911,47.40412979351032,0.0701754385964648
41.356932153392336,31.78947368421052,47.62536873156342,0.3508771929824377
42.094395280235986,32.07017543859649,48.141592920353986,0.6315789473684106
40.39823008849558,36.84210526315789,48.87905604719764,0.3508771929824377
43.42182890855457,35.157894736842096,49.6165191740413,0.6315789473684106
43.42182890855457,34.87719298245614,50.28023598820059,0.3508771929824377
42.53687315634218,42.17543859649122,50.64896755162242,0.3508771929824377
45.41297935103245,53.68421052631578,51.53392330383481,0.3508771929824377
45.19174041297936,53.96491228070174,51.681415929203546,0.0701754385964648
45.56047197640118,46.66666666666666,51.97640117994101,0.3508771929824377
45.56047197640118,46.105263157894726,52.197640117994105,-0.21052631578947967
46.66666666666667,44.701754385964904,52.6401179941003,0.0701754385964648
45.56047197640118,43.57894736842104,52.78761061946903,0.6315789473684106
44.38053097345133,45.543859649122794,53.525073746312685,0.0701754385964648
43.42182890855457,45.263157894736835,53.525073746312685,0.912280701754355
42.83185840707965,46.385964912280684,53.59882005899705,1.192982456140328
42.83185840707965,48.35087719298245,53.82005899705015,0.6315789473684106
43.126843657817105,50.315789473684205,54.11504424778761,1.4736842105263008
43.42182890855457,53.96491228070174,54.63126843657817,0.6315789473684106
43.71681415929204,57.052631578947356,55.36873156342183,0.6315789473684106
44.38053097345133,60.701754385964904,55.737463126843664,1.7543859649122453
46.445427728613566,62.66666666666666,56.10619469026549,0.0701754385964648
47.40412979351032,62.94736842105263,56.17994100294985,0.912280701754355
48.95280235988201,62.94736842105263,56.40117994100295,-0.21052631578947967
47.69911504424779,66.87719298245612,56.47492625368732,0.6315789473684106
45.707964601769916,67.71929824561403,56.76991150442478,2.035087719298218
45.92920353982301,70.80701754385964,57.28613569321534,2.877192982456137
46.445427728613566,71.64912280701753,57.50737463126844,0.6315789473684106
47.40412979351032,71.64912280701753,57.8023598820059,3.1578947368421098
46.445427728613566,73.61403508771929,57.94985250737463,1.192982456140328
46.66666666666667,75.57894736842104,58.2448377581121,2.596491228070164
49.469026548672566,76.14035087719299,58.392330383480825,4.280701754385973
50.575221238938056,74.45614035087718,58.53982300884956,2.877192982456137
50.79646017699115,78.10526315789474,58.90855457227139,2.596491228070164
50.72271386430678,78.10526315789474,58.90855457227139,4.84210526315789
51.16519174041298,78.38596491228068,59.35103244837759,4.84210526315789
50.94395280235988,80.07017543859648,59.35103244837759,5.964912280701753
49.76401179941003,81.75438596491227,59.42477876106195,2.877192982456137
48.95280235988201,82.03508771929823,59.42477876106195,2.3157894736842195
48.95280235988201,81.19298245614034,59.86725663716815,4.84210526315789
47.10914454277286,80.63157894736841,59.793510324483776,5.964912280701753
47.62536873156342,81.75438596491227,60.530973451327434,8.771929824561397
47.40412979351032,81.4736842105263,60.97345132743363,7.649122807017534
48.21533923303835,83.15789473684211,61.34218289085546,4.280701754385973
